FilingDate,Ticker,InsiderName,Title,Shares,Price
2025-07-18 20:40:25,BRCC,Hafer Evan,"Dir, 10%",80000,1.25
2025-07-18 20:36:11,BRCC,Kadenacy Stephen M,Dir,80000,1.25
2025-07-18 20:32:13,BRCC,Dickson Kathryn P,Dir,16000,1.25
2025-07-18 16:02:45,UTGN,Correll Jesse T,"COB, CEO, 10%",12039,0.0
2025-07-18 13:42:51,ELV,Boudreaux Gail,"Pres, CEO",8500,286.94
2025-07-18 13:14:07,NEGG,Galkin Vladimir,10%,222222,28.79
2025-07-18 06:02:37,PETS,Silvercape Investments Ltd,10%,31701,3.15
2025-07-17 18:34:57,ASAN,Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",450000,13.98
2025-07-17 18:04:59,LIEN,Sack Peter,CEO,1000,10.47
2025-07-17 17:19:13,CRSP,George Simeon,Dir,989812,52.03
2025-07-17 17:05:41,DLHC,Mink Brook Asset Management LLC,10%,16685,5.5
2025-07-17 16:53:31,REPX,Libin Alvin Gerald,10%,15000,25.39
2025-07-17 16:30:37,SHEN,"Ecp Fiber Holdings Gp, LLC",10%,51354,14.65
2025-07-17 16:30:35,SHEN,"Ecp Controlco, LLC",10%,51354,14.65
2025-07-17 16:04:14,OMCC,Radabaugh Mark R.,"Pres, CEO OF AMPLEX",14688,6.49
2025-07-17 10:44:54,GRX,"Saba Capital Management, L.P.",10%,12924,9.38
2025-07-17 09:41:37,YORW,Hand Joseph Thomas,"CEO, Pres",326,29.89
2025-07-17 09:00:26,RVYL,S8 Global Fintech & Regtech Fund,10%,200000,0.36
2025-07-16 17:46:26,SSGC,Hillis Dustin Michael,"Pres, Chief Strat Officer",122500,0.42
2025-07-16 16:52:55,REPX,Libin Alvin Gerald,10%,15000,27.27
2025-07-16 16:31:41,PAPL,Marin Kendall Leo,"COO, 10%",89000,0.09
2025-07-16 16:21:30,BXSY,Winmill & Co. Inc,"See ""Explanation of Responses""",20000,13.54
2025-07-16 16:03:49,KFS,Fitzgerald John Taylor Maloney,"Pres, CEO",172,14.49
2025-07-16 12:51:19,NEGG,Galkin Vladimir,10%,111111,29.56
2025-07-15 21:29:14,CALC,Leheny A. Rachel,"CEO, 10%",2500,2.47
2025-07-15 18:38:30,HELE,Grass Brian,CEO,10000,21.47
2025-07-15 17:11:40,DYN,Cox John,"CEO, Pres",100000,9.11
2025-07-15 16:52:29,ASAN,Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",447684,14.2
2025-07-15 16:30:31,SHEN,"Ecp Fiber Holdings Gp, LLC",10%,29137,15.14
2025-07-15 16:30:29,SHEN,"Ecp Controlco, LLC",10%,29137,15.14
2025-07-15 14:50:37,VIRC,Virtue Robert A,CEO,2000,8.15
2025-07-15 14:42:45,NTWK,Ghauri Naeem,Pres,18279,3.85
2025-07-15 14:37:12,CIVB,Shaffer Dennis G,"CEO, Pres",1000,21.25
2025-07-15 13:25:02,CIVB,Perfect Clyde A Jr,Subsidiary Director,2352,21.25
2025-07-15 12:49:26,RVP,Shaw Thomas J,"Pres, CEO, 10%",8536,0.65
2025-07-15 12:15:15,NEGG,Galkin Vladimir,10%,222222,41.14
2025-07-15 11:32:13,DLPN,O'Dowd William IV,CEO,3900,1.28
2025-07-15 06:06:16,NTWK,Ghauri Najeeb,CEO,5025,3.69
2025-07-14 19:14:38,NEGG,Galkin Vladimir,10%,122119,19.84
2025-07-14 18:16:58,CELFX,Nesbitt Stephen Lane,"Pres, Interested Trustee",321691,10.88
2025-07-14 18:15:56,CCLFX,Nesbitt Stephen Lane,"Pres, Interested Trustee",330813,10.58
2025-07-14 18:14:37,CPEFX,Nesbitt Stephen Lane,"Pres, Interested Trustee",52687,18.98
2025-07-14 17:02:53,BMNR,Lee Thomas Jong,Dir,444444,4.5
2025-07-14 16:33:08,BXSY,Winmill & Co. Inc,"See ""Explanation of Responses""",12982,13.59
2025-07-14 16:30:37,COGT,Fairmount Funds Management LLC,Dir,2777777,9.0
